album_,artists_,track_name,release_year,release_month,duration_min,explicit,popularity,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,status
Green Times Mixtape,Shatta Wale,Too Good,2014,March,3.425983333,False,1,10,0,4,0.11,0.612,0.802,1.35e-06,0.452,-3.054,0.325,0.41700000000000004,171.04,non_hit
The Volta Regime,Edem,Skit 9,2009,May,0.35613333329999997,False,0,6,1,4,0.0467,0.7509999999999999,0.457,0.00047000000000000004,0.0586,-20.368,0.0948,0.28800000000000003,100.04299999999999,non_hit
Ratri,Jupitar,I Love You,2008,September,3.682666667,False,0,1,1,4,0.00195,0.67,0.701,0.0,0.16899999999999998,-8.996,0.0484,0.89,145.04399999999998,non_hit
Unveiling,Becca,Hw3 (Bonus),2017,August,4.6857166669999994,False,17,7,1,4,0.31,0.722,0.774,1.88e-06,0.0714,-3.79,0.0587,0.76,98.08,hit
Sugar,KiDi,Say You Love Me,2019,May,1.98,False,23,11,1,4,0.863,0.528,0.32799999999999996,4.25e-06,0.109,-8.782,0.0285,0.435,129.773,hit
"Gifted, Vol. 2",Flowking Stone,Mmrane Skit,2018,December,1.125233333,False,1,1,0,3,0.872,0.596,0.519,0.0,0.49700000000000005,-7.018,0.63,0.929,79.65100000000001,non_hit
Re-Vee-Lation,MzVee,Magic Illusion,2015,September,3.74285,False,0,10,0,4,0.0657,0.529,0.87,7.099999999999999e-05,0.0509,-3.7110000000000003,0.13699999999999998,0.6970000000000001,104.706,non_hit
Nte Tee Pa,Obrafour,Nte Tee Pa,2018,May,5.0046666669999995,False,10,2,0,4,0.4,0.552,0.848,0.0,0.18899999999999997,-2.5069999999999997,0.11800000000000001,0.753,101.446,hit
Songs of Solomon,Ofori Amponsah,Wonkoaa,2015,December,5.2,False,1,2,1,4,0.0618,0.655,0.823,4.5600000000000004e-05,0.17,-5.843999999999999,0.0305,0.85,119.978,non_hit
"Gifted, Vol. 2",Flowking Stone,Winning,2018,December,3.884616667,False,1,5,1,4,0.324,0.8490000000000001,0.614,0.0,0.11199999999999999,-5.807,0.132,0.603,104.029,non_hit
Shatta Wale,Shatta Wale,Dem Confuse,2017,August,3.9815,False,24,11,1,4,0.349,0.754,0.706,0.0,0.0658,-7.27,0.54,0.7609999999999999,107.287,hit
Up a Road Mixtape,Shatta Wale,Real Gyalist,2015,January,4.380666667,False,0,9,1,5,0.225,0.6729999999999999,0.384,0.0,0.0655,-11.665999999999999,0.185,0.9179999999999999,135.964,non_hit
Untamed,Samini,My Own,2018,December,3.3216333330000003,False,25,6,1,4,0.124,0.659,0.6859999999999999,0.0,0.0971,-4.742,0.289,0.62,172.024,hit
Songs of Solomon,Ofori Amponsah,You Lied - Version 2,2015,December,4.377083333,False,0,11,1,4,0.0853,0.877,0.8320000000000001,6.27e-05,0.0645,-5.9270000000000005,0.195,0.605,107.085,non_hit
Sugar,Becca,U Lied To Me (Part 2),2007,November,5.286416667,False,1,0,1,4,0.428,0.74,0.662,0.000178,0.0821,-6.973,0.071,0.841,83.005,non_hit
Awosoc,Daddy Lumba,Odamani Bewo Ama,2015,January,4.5360000000000005,False,15,11,1,4,0.434,0.8220000000000001,0.902,0.00026000000000000003,0.0858,-5.478,0.0336,0.9620000000000001,116.006,hit
Epistles of Mama,Stonebwoy,Hold on You,2018,June,3.7141833330000003,False,20,0,1,4,0.586,0.5329999999999999,0.525,0.000218,0.34,-8.217,0.244,0.6779999999999999,183.915,hit
Fakye,Nana Quame,Gyae Su,2015,April,5.646216667000001,False,0,1,0,4,0.0153,0.736,0.75,0.588,0.0467,-8.914,0.0481,0.608,105.973,non_hit
I Won't Wait,Joey B,Tripping,2008,September,4.081116667,False,0,6,0,4,0.8029999999999999,0.644,0.27699999999999997,1.33e-06,0.146,-11.402999999999999,0.0355,0.247,114.944,non_hit
Sarkology,Sarkodie,Adonai (feat. Sk Blinks),2014,January,4.04705,False,16,5,1,4,0.474,0.8420000000000001,0.8220000000000001,0.0,0.386,-4.4030000000000005,0.0472,0.878,131.016,hit
Poison,Daddy Lumba,Onyame Were Mfi Ne Mma,2017,January,4.563333333,False,15,1,1,4,0.262,0.716,0.726,4.8e-05,0.068,-8.128,0.0678,0.894,90.33200000000001,hit
Site 15,R2Bees,Boys Kasa,2019,March,4.689333333,False,31,8,0,4,0.317,0.6920000000000001,0.47100000000000003,2.36e-06,0.0597,-5.3229999999999995,0.42,0.774,102.88600000000001,hit
Da Revolution,R2Bees,Black Plantation,1905,July,4.822,False,1,11,0,4,0.41200000000000003,0.669,0.965,0.0,0.195,-2.635,0.0982,0.898,103.005,non_hit
